Source,Page,Category,Climate Problem,Solution Name,Technologies,Description
"Seoul, South Korea",23,Extreme Weather Events,Extreme Weather Events,시민안전파수꾼 (Citizen Safety Guardians),"Training programs, Community engagement, Awareness campaigns","通过培养公民应对能力，强化初期灾害响应，已“양성...시민안전 파수꾼 양성사업”为45000人，计划到2022年每年培养10,000人。"
"Seoul, South Korea",24,Extreme Weather Events,"Sharing best practices and improving disaster management across cities in light of globalization of safety concerns (MERS, fine dust, etc.).",International Urban Resilience Forum,"Conference organization, Knowledge sharing platforms",An initiative to strengthen international networks among cities to share knowledge and best practices for disaster resilience and safety management.
"Seoul, South Korea",25,Health Risks,Safety risks during extreme weather events for vulnerable populations,안심망 시스템 전 자치구 확산,"Smartphones, CCTV","""스마트폰-CCTV를 연계 여성안심망 ‘안심’ 시스템을 전 자치구로 확대 운영하여 앱 가입자 의 위기상황 시 실시간 모니터링으로 위기극복 지원 서비스를 확대한다."""
"Seoul, South Korea",26,Extreme Weather Events (in the context of disaster response),Insufficient emergency response capabilities during crime and disaster situations,Intelligent CCTV System,"AI surveillance, CCTV integration, deep learning, automated tracking systems","The solution involves the enhancement and integration of intelligent CCTV throughout Seoul, which aims to improve crime prevention and disaster response capabilities. It includes the installation of AI-enabled CCTV for better monitoring and analysis to support rapid responses to emergencies."
"Seoul, South Korea",27,"Extreme Weather Events, Water-Related Issues",Urban heat and air pollution,"Tree Planting Project (""3,000,000 Trees Planting Project"")","Urban forestry, Climate-resilient landscaping, Air quality monitoring","The project aims to plant a total of 30 million trees by 2022, which is expected to reduce air pollution and lower urban temperatures comparable to the emissions from 64,000 diesel vehicles and the cooling effect of operating 24 million air conditioners for 5 hours."
"Seoul, South Korea",28,Health Risks,Air pollution from fine dust (PM2.5),차로변 보행 공간 미세먼지 차단 숲 조성 (Creating Dust-Blocking Forests Along Walking Spaces),"Urban forestry, air quality monitoring systems",This initiative aims to improve air quality and reduce dust by planting trees with high dust reduction effectiveness and creating multi-layered green spaces along pedestrian areas.
"Seoul, South Korea",30,Geological Hazards,Earthquake risks to public infrastructure,내진 성능 강화를 위한 내진보강공사,"Seismic reinforcement techniques, Structural engineering technologies, Safety compliance systems","This involves strengthening seismic performance of public buildings in Seoul, aiming to raise structures that do not meet seismic standards to 100% compliance by conducting reinforcement work."
"Seoul, South Korea",31,Water-Related Issues,Urban flooding and related urban resilience issues,서울로 7017 (Seoul Skygarden),"Urban design, green infrastructure, pedestrian connectivity, landscape architecture","서울로 7017 repurposes an old elevated highway into a pedestrian walkway, which enhances urban flood resilience by providing green space and improved drainage. This transformation connects previously segregated areas, facilitating interactions within the city and possibly enhancing stormwater management through landscaping and vegetation."
"Seoul, South Korea",33,Extreme Weather Events,Crime threat during extreme weather events,안심부스 (Safety Booth),"Automated door mechanism, siren and light system, communication technology","The Safety Booth is designed for citizens to take refuge during emergencies. It automatically closes its door when a citizen enters and activates sirens and warning lights to call for help, thus enhancing safety during extreme weather events."
"Seoul, South Korea",40,"Extreme Weather Events (indirectly, as improving resource efficiency can bolster resilience)",Resource inefficiency and insufficient civic cooperation,민관협력형 공유 모델 (Public-Private Cooperative Sharing Model),"Collaborative resource management platforms, sharing economy technologies","The initiative aims to establish and expand a true sharing culture among private resources as opposed to a public resource-centered sharing policy, which enhances community resilience and efficiency."
United Arab Emirates,22,General Adaptation and Resilience Building,Insufficient tracking of climate variables,Strengthen and improve monitoring and observation of climate change,"Remote sensing technologies, climate modeling tools","This effort aims to enhance monitoring systems that track climate variables, which is essential for informed adaptation planning and resilience building."
United Arab Emirates,28,Water-Related Issues,Urban flooding,Waste-to-energy,"Waste-to-energy technology, waste management systems","A number of waste-to-energy facilities are in construction or approval phase in the UAE, expected to handle up to 2 million tons of municipal solid waste per year by 2020, helping to manage waste that can otherwise contribute to urban flooding."
"Semarang, Indonesia",17,"Water-Related Issues, Geological Hazards","Urban flooding, Coastal flooding (incl. sea level rise)","Risk reduction and geologic, hydrometeorology, and coastal disaster management","Geographic Information Systems (GIS), disaster management tools, hydrometeorological forecasting",This solution entails implementing strategies for disaster management that integrate geological and hydrometeorological data to mitigate risks associated with urban and coastal flooding.
"Melbourne, Victoria, Australia",50,"Extreme Weather Events, Water-Related Issues","General impacts of climate change (drought, flooding, extreme heat)",Climate Change Adaptation Strategy,"Risk assessment tools, climate modeling technologies","""The Climate Change Adaptation Strategy...identifies climate risks and sets actions and priorities to ensure we adapt well to the impacts of climate change."""
"Melbourne, Victoria, Australia",52,Health Risks,Health risks associated with environmental pollutants,Reducing healthcare waste through recycling and low carbon procurement; improved energy efficiency; encouraging active transport/clean power vehicles,"Recycling systems, sustainable procurement tools, energy management systems","Implementing low carbon procurement and energy efficiency measures in healthcare can help reduce environmental pollutants, leading to improved air quality and associated health benefits."
"Surat, Gujarat, India",3,Extreme Weather Events,Flood vulnerability,Surat Climate Change Trust,None specified,"The Surat Municipal Corporation developed a City Resilience Strategy aimed at addressing climate change challenges, specifically focusing on enhancing resilience to flooding."
"Surat, Gujarat, India",4,Health Risks,Health risks related to extreme health events,Internet-based Urban Service Monitoring System,"Internet, Data monitoring systems","An Internet-based system that enables city officials to generate data on disease trends in Surat regularly, facilitating monitoring of the impact of health events."
"Surat, Gujarat, India",5,Water-Related Issues,Urban flooding,Smart City Initiatives,"Smart city technology, Urban planning tools","Surat Municipal Corporation is working with Microsoft CityNext to develop Surat as a smart city with advanced urban planning and citizen-empowerment processes, aimed at improving overall resilience to climate-related challenges."
"Surat, Gujarat, India",6,Water-Related Issues,River flooding,End-to-end early-warning system for river floods,"Information technology, early-warning systems","This solution involves creating a comprehensive early-warning system that provides timely alerts to the community regarding potential river flooding, allowing them to prepare and respond accordingly."
"Toyama, Japan",5,Extreme Weather Events,Significant natural disasters and their impacts exacerbated due to urbanization and climate change,Cooperation with other countries,"Collaborative platforms, disaster response coordination tools","Assist countries or regions that experience significant natural disasters by cooperating on disaster waste management initiatives, particularly in global hot spot regions such as Asia and the Pacific."
"Toyama, Japan",7,Water-Related Issues,"Urban flooding, River flooding, Coastal flooding",Disaster Waste Management (D-waste),"Recycling technologies, waste estimation tools, cooperation agreements, technical assistance frameworks","Japan's experience in disaster waste management, especially following the Great East Japan Earthquake, provides valuable lessons for effectively managing waste in the wake of significant natural disasters, thereby reducing the potential for urban, river, and coastal flooding."
"Toyama City, Japan",26,Water-Related Issues,Complex responses to increased flooding and environmental shocks,Knowledge transfer of Sabo technology,"Technical cooperation, engineering best practices","The dissemination of Sabo technology and best practices has been conducted globally by Japanese engineers, enhancing local capacities to manage flood risks and improve resilience through technical cooperation."
"Toyama City, Japan",27,Water-Related Issues,Urban flooding,Flood control using storage in paddy fields,"Agricultural land management, water management systems","The use of paddy fields for flood control maximizes existing agricultural assets to store excess rainwater, thereby reducing urban flood risks."
"Toyama City, Japan",28,Water-Related Issues,Urban flooding,Matsukawa Rainwater Storage Facility,"Rainwater storage tunnel, combined sewer system","The Matsukawa Rainwater Storage Facility was initiated to alleviate future flood damage caused by heavy rains in Toyama City. It includes a 1,069-meter rainwater storage tunnel designed to store excessive rainwater, thereby reducing flooding damage in low land areas."
"Toyama City, Japan",29,Water-Related Issues,Urban flooding caused by concentrated torrential rain,Paddy Field Storage for Flood Control,"Weir boards, Drainage ports, Subsidy schemes","This solution involves temporarily storing excessive rainwater in paddy fields to suppress inflow into rivers and waterways, thereby reducing flooding in urban areas. By lowering the water level of rivers, it has been shown to significantly decrease flood damage."
"Toyama City, Japan",30,Water-Related Issues,Urban flooding,Rainwater Management and Flood Forecasting Technology,"Urban Area Radar System, Rainwater Estimation System, High-Speed Outflow Analysis System","This project involves a series of innovative technologies for early detection of heavy rainfall and effective management of rainwater, enabling cities to minimize flood damage and implement timely response measures."
"Toyama City, Japan",31,Extreme Weather Events,Gaps in disaster preparedness and response among voluntary disaster prevention teams,Voluntary Disaster Prevention Organization Activity Advisor,"Communication tools for advisement, planning software","This solution provides advisory services from the city to voluntary disaster prevention organizations, helping to formulate plans and train members for better disaster preparedness and response."
"Toyama City, Japan",35,Water-Related Issues,Increased water demand (indirectly through enhanced community engagement),Community Awareness Programs,Public education and engagement programs.,"Toyama Kankyo Seibi engages in ""community awareness programs for citizens of the surrounding neighborhoods,"" educating them on waste management and related practices that might help alleviate excessive water demands."
"Toyama City, Japan",36,Extreme Weather Events,Waste management during and after disasters,Japan Disaster Treatment Systems,"Waste disposal facilities, collaborative management systems",This initiative enhances the capacity of waste disposal facilities and promotes cooperation among governments and private enterprises for effective disaster management and waste treatment.
"Toyama City, Japan",45,Water-Related Issues,Coastal flooding (incl. sea level rise),Develop a masterplan for revitalization of the city center to seacoast corridor,"Urban planning software, environmental impact assessment tools","This masterplan aims to enhance the resilience of the city’s coastline against sea level rise and coastal flooding, creating sustainable urban spaces integrated with nature and flood mitigation measures."
"Jakarta, Indonesia",3,Health Risks,Waste disposal issues contributing to health risks,Waste management improvement,"Waste management technologies, recycling systems, monitoring systems",Encouraging waste management at sources is intended to reduce pollution and health risks by managing waste more effectively through local participation and improved systems.
"Jakarta, Indonesia",4,Health Risks,Traffic congestion and reliance on private vehicles,Stronger Public Transport Policies,"Policy management systems, transport analytics","""Driving Jakarta's transformation into a responsive smart city"" which includes ""Encouraging system integration and strengthening public transport policies,"" targets improving public transport systems and reducing traffic congestion."
"Jakarta, Indonesia",7,General Resilience Assessment,Various climate resilience challenges,Penilaian Awal Ketahanan/Preliminary Resilience Assessment (PRA),"Resilience assessment tools, Data analytics systems","""Menetapkan kekuatan dan kelemahan terkait ketahanan kota dengan menggunakan Kerangka Ketahanan Kota/City Resilience Framework (CRF)."""
"Jakarta, Indonesia",27,Water-Related Issues,Food security risks and impacts of climate change during emergency conditions,Urban Agriculture,"Urban farming techniques, renewable storage technologies, efficient agricultural practices","Urban agriculture involves utilizing vacant lands or abandoned buildings for food production to enhance food security and resilience against climate-induced risks. This strategy encourages collaboration among stakeholders to effectively manage food availability, price stability, and distribution even during disasters."
"Jakarta, Indonesia",28,"Health Risks, Water-Related Issues","Urban flooding, Heat stress",Optimalisasi Pemanfaatan Artificial Intelligence (AI) untuk Memperlancar Arus Transportasi Publik,"Artificial intelligence, Machine learning, Transportation technology","""Mengoptimalkan Penggunaan Artificial Intelligence (AI) untuk Memperlancar Arus Transportasi Publik"" implies using AI to enhance public transportation efficiency, indirectly addressing heat stress and urban flooding issues by improving access and mobility."
"Jakarta, Indonesia",29,Extreme Weather Events,Increased vulnerability to climate change impacts,Enhancing Public Policy Integration of Climate and Disaster Issues,"Policy analysis software, stakeholder engagement platforms","The policy integration of ""isu bencana dan perubahan iklim"" into public policy frameworks supports proactive governance and resource allocation for climate resilience."
"Jakarta, Indonesia",30,Water-Related Issues,Supply chain disruptions impacting food availability,Technology-based Food Storage Solutions,"Renewable energy storage technologies, modern food preservation methods","""Penyediaan tempat penyimpanan pangan dengan teknologi terbarukan"" aims to provide improved food storage options to enhance sustainability and accessibility during emergencies."
"Jakarta, Indonesia",32,Water stress,Insufficient data on groundwater levels and subsidence,Pembangunan Sistem Data Informasi Geologi dan Air Tanah,"Data information systems, geological monitoring technology","""Pengembangan Sistem Data Informasi Geologi dan Air Tanah"" aims to create a comprehensive information system to enhance data collection and analysis related to groundwater and geological conditions."
"Jakarta, Indonesia",33,Water-Related Issues,"Urban flooding, Water stress",Pembentukan Forum Ketahanan Metropolitan Jakarta,"Collaboration platforms, Data-sharing technologies",The establishment of a metropolitan resilience forum facilitates regional collaboration for managing water-related issues and disaster preparedness in the broader Jakarta area.
"Jakarta, Indonesia",34,"Extreme Weather Events, Health Risks",Difficulty in achieving a proactive culture concerning climate adaptation and disaster response,Integration of Local Cultural Values into Disaster Preparedness Training,"Educational curriculum development, Interactive training modules, Local community integration",The modification of disaster preparedness training modules to embed local cultural wisdom aims to internalize values supporting readiness for disasters and climate impacts within the local education system. This will allow for a more tailored approach to disaster readiness that resonates with community values.
"Jakarta, Indonesia",35,"Extreme Weather Events, Water-Related Issues",Risks from disaster impacts,Optimalisasi Sertifikat Laik Fungsi,"Building certification systems, Risk assessment tools","The optimization of building functional certification to incorporate disaster risk aspects, ensuring that infrastructure supports resilience against extreme weather events and flooding."
"Jakarta, Indonesia",36,Water-Related Issues,Inefficiency in monitoring and maintaining water infrastructure,Implementation of Latest Technology for Water Infrastructure Maintenance,"IoT (Internet of Things), remote sensing technologies, data management systems","The proposal is to employ the latest technology for the maintenance of water infrastructure and to oversee water usage activities, which is essential to managing the water supply successfully."
"Jakarta, Indonesia",37,Water-Related Issues,Water stress,Environmental Services Collaboration,"Collaborative platforms, resource management technology",Increasing collaboration between government entities in the Jabodetabek area to enhance the management and quality of water resources through environmental services.
"Jakarta, Indonesia",38,Health Risks,Inadequate wastewater management impacting public health,Eco-Masjid and Eco-Kampung Programs,"Sustainable sanitation systems, Community engagement techniques","These programs promote sustainable practices in community settings by encouraging the establishment of eco-friendly mosques and neighborhoods, focusing on proper sanitation and wastewater management education."
"Jakarta, Indonesia",39,Water-Related Issues,Operational and maintenance cost burdens of wastewater treatment infrastructure,Sustainable Financing System for SPALD,"Community financing models, subsidy schemes, public-private partnerships","The development of a sustainable financing system for the centralized sanitation system (SPALD) involves creating a financing scheme that includes community contributions, making the operational and maintenance costs a shared responsibility. This approach is intended to ensure the long-term viability of wastewater facilities."
"Jakarta, Indonesia",40,Water-Related Issues,Pencemaran lingkungan perkotaan terkait tingginya jumlah timbulan sampah yang tidak terkelola,Skema Insentif-Disinsentif,"Economic incentive programs, Data tracking systems","""Pengembangan skema insentif-disinsentif untuk mendukung pengurangan sampah di sumber"" aims to create financial motivations for reducing waste generation at the source."
"Jakarta, Indonesia",41,Water-Related Issues,Ineffective waste management leading to urban flooding and environmental degradation,Improved waste management coordination,"Waste management systems, coordination platforms","The proposal to ""memutakhirkan sistem dan skema koordinasi pengelolaan sampah"" emphasizes enhancing the coordination systems for waste management, which can lead to more effective waste processing and reduction in waste that clogs waterways."
"Jakarta, Indonesia",42,Water-Related Issues,Urban flooding and mobility issues during extreme weather events,Construction of Skywalks,"Structural engineering, urban planning, construction technology","Building skywalks provides an elevated means of transport for pedestrians, which is crucial during urban flooding, allowing mobility and access to transportation options in adverse weather conditions."
"Jakarta, Indonesia",45,Water-Related Issues,Challenges in managing urban mobility and emergency responses,Development of Big Data and Deep Learning Systems,"Big data, deep learning systems","This initiative focuses on creating big data and deep learning systems to assist in decision-making processes related to urban traffic and potential flooding events, thus improving city resilience."
"Jakarta, Indonesia",46,Water-Related Issues,Urban flooding and increased water demand due to inefficient transportation systems,Enhanced Integration of Public Transport Modes,"Mobility platform integration, transit management software, data analysis tools","""peningkatan keterhubungan antarmoda"" suggests integrating various public transport systems to improve their overall effectiveness, which can help reduce traffic congestion and improve mobility during extreme weather events."
"Jakarta, Indonesia",48,Extreme Weather Events,"Extreme Weather Events, Water-Related Issues",Optimalisasi Penggunaan Artificial Intelligence untuk Memperlancar Arus Transportasi Publik,"Artificial Intelligence, Traffic management systems","""Optimalisasi Penggunaan Artificial Intelligence untuk Memperlancar Arus Transportasi Publik"" utilizes AI to enhance public transportation flow, which is crucial during extreme weather events to ensure mobility and access."
"Jakarta, Indonesia",49,Water-Related Issues,Urban flooding and other urban resilience issues,City Resilience Index (CRI),"Data collection, Analytics tools, Stakeholder consultation platforms",The City Resilience Index (CRI) is utilized for evaluating the resilience status of the city and determining the relevance of strategies addressing urban challenges like flooding. It aids in updating resilience strategies and making informed recommendations based on evaluations conducted every 1-2 years.
"Jakarta, Indonesia",51,Extreme Weather Events,Extreme Weather Events,Simulasi audio visual untuk kebencanaan,"Audio-visual technology, Education platforms","""Simulasi audio visual untuk kebencanaan"" utilizes audiovisual simulations to educate and prepare communities for various disaster scenarios."
"Jakarta, Indonesia",52,Water-Related Issues,"Water stress, Increased water demand","Edukasi Masyarakat Pengguna Air Bersih melalui kegiatan diantaranya Proklim, Eco-masjid","Community engagement initiatives, Educational programs","This involves educating communities about water use and conservation through initiatives connected to climate programs and eco-friendly mosques, promoting sustainable practices in water management."
"Jakarta, Indonesia",53,Water-Related Issues,Urban flooding and water management issues,Internalizasi Desain Besar Sistem Pengelolaan Sampah dan Air Minum dan Air Limbah Domestik ke dalam RPJMD dan RKPD,"Integrated water management systems, waste management technology",Integrating waste management and domestic water supply systems into regional development plans to improve resilience against flooding and manage water resources effectively.
"Jakarta, Indonesia",54,Water-Related Issues,Urban flooding,Pembangunan Ruang Terbuka Berketahanan,"Green infrastructure, Landscape design tools","""Pembangunan Ruang Terbuka Berketahanan"" suggests the development of resilient open spaces which can help absorb excess rainwater, thereby reducing urban flooding risks."
"Jakarta, Indonesia",55,Extreme Weather Events,"Extreme Weather Events, Urban flooding",Penyempurnaan Modul Pelatihan Kesiapsiagaan Bencana dan Dampak Perubahan Iklim agar berbasis kearifan lokal,"E-learning platforms, Training simulators",Enhancing training modules for disaster preparedness based on local wisdom can equip communities with culturally relevant tools and strategies to respond to extreme weather events.
"Jakarta, Indonesia",56,Water-Related Issues,Water stress,Peningkatan kampanye pemanfaatan sumber air alternatif,"Alternative water source systems, public awareness campaigns","""Peningkatan kampanye pemanfaatan sumber air alternatif"" indicates initiatives to promote the use of alternative water sources, helping to alleviate pressure on conventional water systems."
"Jakarta, Indonesia",60,Water-Related Issues,Control over excessive groundwater use and groundwater quality management,Development of Geological and Groundwater Information System,"GIS, data analysis tools, monitoring systems","""Sebagai upaya untuk mengontrol penggunaan air tanah yang berlebihan di wilayah DKI Jakarta dalam rangka mengantisipasi dan merespon isu penurunan muka tanah."" This solution seeks to analyze risks related to geological and groundwater issues and improve the availability of clean water for residents."
"Jakarta, Indonesia",61,Water-Related Issues,Increased water demand and urban mobility challenges related to extreme weather events,Transit Oriented Development (TOD),"Integrated public transport systems, traffic engineering software, urban mobility planning tools","The development of a mass transportation system that promotes walking and biking aims to reduce the usage of motor vehicles, which can help alleviate urban flooding and stress on water resources."
"Bangkok, Thailand",4,Water-Related Issues,Urban flooding,Green and blue infrastructure,"Green infrastructure, Blue infrastructure, Water management systems, Urban planning technologies",This approach to water management utilizes parks and canals alongside traditional grey infrastructure (pipes and pumps) to manage flooding and improve liveability in Bangkok.
"Bangkok, Thailand",41,Health Risks,Infectious diseases in vulnerable populations such as migrant workers,Event-Based Surveillance for Pandemics,"Integrated disease surveillance systems, medical screening technologies, vaccination tracking systems, health communication media","The initiative focuses on enhancing disease surveillance and control systems for migrant worker housing, which includes activities such as medical screening, integrated network surveillance, vaccination, and improving sanitation. This structured approach aims to prevent and control outbreaks within this susceptible group."
"Bangkok, Thailand",48,Extreme Weather Events (related stress),Traffic congestion,Monorail Feeder and Light Rail System,"Mass transit infrastructure, rail technology, urban transportation management systems","""Multiple and well-connected mass transportation facilities and networks will be made available for Bangkok residents for safe, fast and convenient daily commuting... This will offer an alternative mode of transportation in Bangkok."""
"Bangkok, Thailand",49,Water-Related Issues,Stress – Traffic congestion,Expansion of the Water Transport Network,"Water transport systems, Monitoring systems","This initiative will pilot two new ferry services along the Phasi Charoen Canal to improve integration of water-based transport with land transport networks, encouraging residents to use waterways more frequently as a cheaper and less time-consuming travel option."
"Bangkok, Thailand",51,Water-Related Issues,"Traffic congestion and associated pollution impacts, especially around schools",Traffic congestion reduction initiative,"Traffic volume study methods, public transportation system improvements","This initiative will study ""the impacts of traffic congestion in and around Samsen Road and determine approaches to reduce traffic congestion, including through improving the public transportation system especially for students."""
"Bangkok, Thailand",59,"Water-Related Issues (indirectly, as it addresses the stress on waste management which can lead to urban flooding)",Environmental problem from solid waste,Waste-to-Energy Plants,"Incineration, thermal technology, non-thermal technology","""Waste-to-energy plants can reduce waste volume to be disposed to landfill, while also reducing demands on fossil fuels."" This initiative involves constructing a plant that can treat solid waste and convert it into energy, thereby addressing the waste management crisis and its implications for urban flooding."
"Bangkok, Thailand",61,Extreme Weather Events,Lack of mobility options during disruptions to road and public transport networks,Enhanced Cycling Pathways and Facilities,"Infrastructure design, mapping technologies, air quality monitoring",This project will result in enhanced accessibility to facilities and infrastructure for vulnerable residents and promote alternative mobility options when disruptions arise.
"Bangkok, Thailand",62,Health Risks,Air pollution leading to respiratory diseases,Air Emission Inventory for Bangkok,"GIS-based database, Air Quality Index (AQI) standards","The project will develop an air emission inventory for Bangkok, which will assist in determining and predicting air pollution sources and help in managing air quality more effectively."
"Bangkok, Thailand",63,Water-Related Issues,Urban flooding and stress from urbanization affecting health and wellbeing outcomes,Development of New Recreational Parks,"Database generation, green infrastructure development","The initiative aims to construct parks that ""will also be designed to maximise co-benefits, such as floodwater retention during extreme rainfall events."" This helps address urban flooding while providing recreational space for residents."
"Bangkok, Thailand",64,"Extreme Weather Events, Water-Related Issues","Lack of green space, climate change, and air pollution",Increase Green Space Initiative,"Community engagement tools, training modules for government officials and community leaders, research methodologies for sustainable development.","""Increasing the amount of green space on private land will result in better environmental conditions in Bangkok"" and ""Public engagement to increase green spaces on privately owned land is a low cost and sustainable way of improving the city’s environment."""
"Bangkok, Thailand",65,Water-Related Issues,Limited public access to the river bank and lack of green space,Riverside Promenade Development,"Urban planning, landscape architecture, accessible design","""The promenade will restore the public’s access to the river bank while also providing open green space... The promenade will be wheelchair accessible and provide recreational opportunities for the young, elderly and disabled."""
"Bangkok, Thailand",66,Water-Related Issues,Flood resilience,Green and Blue Infrastructure,"Water retention systems, Detention areas, Urban parks, Landscape architecture","""This ‘green’ and ‘blue’ infrastructure provides multiple benefits for the city, including amenity, recreational space and cooling while also contributing strongly to reducing risks from flooding."""
"Bangkok, Thailand",67,Water-Related Issues,Flooding and water management,Community water resource management programs,"Community engagement platforms, resource management tools","Initiatives fostering community participation in water resource management, aiming to integrate socio-economic, environmental, and flood protection benefits."
