Source,Page,Technologies,Description,
"Sydney, Australia",33,"Virtual networking, knowledge sharing platforms","""The VEP has brought high-profile international entrepreneurs to Sydney to share their expertise and knowledge with the local tech startup community.""",
"Sydney, Australia",34,Waste management technologies,The Sustainable Destination Partnership collaborates with the accommodation and entertainment sector to address and reduce waste sent to landfill.,
"Sydney, Australia",35,"solar sharing technology, battery storage technology","""The owners are now looking to invest in solar sharing technology and battery storage to supply power to individual apartments.""",
"Sydney, Australia",36,Certification and assessment technologies,"""The BBP has delivered sector-wide change... which is embedded in NABERS Waste and Good Environmental Choice Australia certification of waste service providers.""",
"Sydney, Australia",37,Water-saving research initiatives,The SDP worked with Sydney Water to research water-saving opportunities to reduce potable water consumption.,
"Sydney, Australia",38,"Grants, local project contributions","""Supporting grassroots and local projects that contribute to vibrant sustainable communities and economies by matching contributions towards a project.""",
"Sydney, Australia",39,"Green roofs, solar PV systems, stormwater management systems","""Integrated green roofs appear cooler on average by 5.5°C."" They also ""store and ‘polish’ rainwater,"" slowing discharge to the stormwater system in high rainfall events. Additionally, they encourage biodiversity by hosting more than 30 species of fauna.",
"Sydney, Australia",40,"Zero emissions vehicle fleets, zero emissions fuelling stations, urban charging network","""We will advocate that the Australian Government develop a national plan for transitioning vehicle fleets to zero emissions by 2035. One key element will be transitioning existing service stations to become zero emissions fuelling stations, creating the backbone of the urban charging network.""",
"Sydney, Australia",41,"Sustainability programs, Collaborative platforms","""We will support office tenants in their work with building owners to improve environmental performance. We will use the CitySwitch national program to support collective action, including in relation to mandatory tenant disclosures.""",
"Sydney, Australia",44,"Organic farming techniques, urban agriculture systems","""Sydney City Farm...uses organic growing principles to produce nearly half a tonne of fresh food annually.""",
"Sydney, Australia",47,"Low-cost sensors, environmental monitoring","""It is deploying 21 low-cost sensors in the local area to measure air quality as well as noise and temperature.""",
"Sydney, Australia",49,"Assessment tools, monitoring technology","""As part of the program, a water efficiency assessment for a major shopping centre identified opportunities to save 63 kilolitres of water each day.""",
"Sydney, Australia",50,"Anaerobic digestion, waste collection systems","""We committed to investigating solutions to the food waste problem by starting a food waste collection and recycling trial for residents in July 2019"" which has involved the collection and processing of food scraps at the EarthPower anaerobic digestion facility, producing ""green electricity and fertiliser.""",
"Sydney, Australia",52,Waste tracking systems,"""It is difficult to track and accurately report on waste quantities and recycling rates once waste is moved, particularly if it is sent interstate or overseas.""",
"Sydney, Australia",55,"Waste management technology, recycling systems","""The City will increase its focus on reducing waste, improving kerbside resource recovery through education,"" and ""expand the current food scraps recycling trial.""",
"Sydney, Australia",57,Global reporting program technologies,"""We will continue to provide an annual environmental report to Council and the community and benchmark the City’s performance through the CDP-C40 global reporting program.""",
"Chennai, India",6,Retrofitting materials and technologies,"""Majority of slum housing is prone to heating up during summers this can be mitigated by retrofitting them for improved thermal comfort.""",
"Chennai, India",34,"energy efficient appliances, energy efficient building design, renewable heating",“Achieving energy efficiency in all building by 2050”,
"Chennai, India",37,Electric two-wheel vehicles,"""Incentivize adoption of electric 2Wheelers in households.""",
"Chennai, India",38,"Decentralized waste processing, waste segregation at source, waste collection systems",“Remediation of existing dumpsite while ensuring no waste is being dumped in open.”,
"Chennai, India",40,Not specified in the content provided.,“Improved disaster risk reduction.”,
"Chennai, India",41,Permeable surface technologies,"""Augment permeable surfaces in open spaces to reduce run-off and enhance water recharge through introducing mandate in building byelaws.""",
"Chennai, India",43,None specified,"""Inclusion of heat resilient, water efficient and energy efficient guidelines in the Tamil Nadu Combined Development and Building Rules (TNCDBR), 2019.""",
"Seoul, South Korea",2,"smart technologies, data analytics, urban planning tools","""Smart Safe City for All"" aims to enhance urban resilience by integrating advanced technologies to ensure safety and quality of life for citizens in Seoul.",
"Seoul, South Korea",3,Infrastructure management technologies,"The program focuses on the ""proactive management of aging infrastructure.""",
"Seoul, South Korea",5,"Community engagement tools, policy development systems","""사회안전망을 강화하는 일이 무엇보다도 중요하게 떠오르고 있습니다.""",
"Seoul, South Korea",7,"Intelligent CCTV, urban safety center","""지능형 CCTV 고도화 및 스마트서울 CCTV 안전센터 연계 등을 통해 범죄예방과 대응 능력 향상으로 365일 안전 서울을 구축한다.""",
"Seoul, South Korea",18,"Urban data management, predictive maintenance technology, disaster forecasting technology","""민·관을 넘어서 도시 데이터 를 통합적으로 관리하기 위한 노력이 요구된다. … 특히 노후 인프라에 대한 예방적 유지관리와 재난예측 시스템에 좋은 성과를 기대하고 있다.""",
"Seoul, South Korea",20,"Building inspection technology, seismic strengthening technology","""노후된 건축물 내진 보강, 지진 취약 건물 및 저층 건물부터 점검 의무화 시작.""",
"Seoul, South Korea",22,"Urban design, safety infrastructure","""횡단보도를 건너기 전 대기 공간의 시인성을 높일 수 있도록 노란색을 칠해 운전자가 아동을 쉽게 인지하게 하여 교통사고 예방."" This design project enhances visibility and reduces risks during everyday and emergency situations.",
"Seoul, South Korea",23,"Training programs, community engagement platforms","The initiative focuses on training ""10 million citizen safety guards"" to strengthen community response capabilities during disasters, helping citizens to effectively act during initial disaster situations.",
"Seoul, South Korea",24,"Emergency Services Coordination, Safety Programs","""서울 소재 초등학교와 특수학교를 대상으로 수학여행에 119대원을 동행시키는 ‘119 동행프로그램’은 2014년부터 운영하여 2016년까지 3년간 249개 학교, 2만 907명을 대상으로 총 2,612건의 안전조치를 시행했다.""",
"Seoul, South Korea",25,"스마트폰, CCTV, 모바일 애플리케이션","""스마트폰-CCTV를 연계 여성안심망 ‘안심’ 시스템을 전 자치구로 확대 운영하여 앱 가입자의 위기상황 시 실시간 모니터링으로 위기극복 지원 서비스를 여성에서 어르신, 장애인, 아동까지 확대한다.""",
"Seoul, South Korea",26,"AI surveillance, deep learning, facial recognition, number recognition, automated tracking","""서울시는 범죄지역 관리를 위해 각 자치구청에 CCTV통합센터를 구축하고 지능형 CCTV 확충 및 성능개선사업을 시행하고 있다."" This solution focuses on enhancing public safety and crime prevention through the use of intelligent CCTV networks.",
"Seoul, South Korea",27,나무심기,"""총 3,000만 그루의 나무를 심으면 미세먼지를 줄이고 도심 온도를 낮추고 산소농도를 높이는 효과를 기대할 수 있다.""",
"Seoul, South Korea",28,"녹지 공간 조성, 미세먼지 저감 수목","""활엽수와 같은 미세먼지 저감 효과가 큰 수종을 도입해 대기 환경을 개선하고 다층구조 녹지 공간을 조성해 단층 대비 미세먼지 20%, 온도 0.7도 낮추는 효과를 기대한다.""",
"Seoul, South Korea",29,LED lighting technologies,"""서울시는 미니태양광을 이용해 에너지 협동조합을 살리고, LED를 적극 보급하면서 관련사업의 활성화에 이바지하고 있다.""",
"Seoul, South Korea",30,"Upgraded management systems, integration technologies","""지하정보 통합관리시스템을 업그레이드하여 정확도를 개선 등 지하시설물을 체계적으로 관리해 나갈 계획이다.""",
"Seoul, South Korea",31,"Urban redesign, pedestrian infrastructure, lighting systems, landscape architecture","""서울시는 차량길로 이용되던 고가차도를 철거할 계획이었으나, 발상을 전환하였고 보행길로 재탄생시켜 시민들에게 돌려주었다."" This solution involved repurposing an existing elevated road into a pedestrian walkway, thereby connecting previously disconnected areas and enhancing urban vibrancy.",
"Seoul, South Korea",32,"Security management systems, community safety programs","""서울시는 국공립 초등학교 559개교에 학교보안관 총 1,185명이 배치되어 운영 중이다.""",
"Seoul, South Korea",33,"Automated door system, siren, light signaling, free Wi-Fi, mobile phone charging station","""서울시는 노후화로 제 기능을 하지 못하는 길거리 공중전화부스를 범죄 위협을 받는 시민이 대피할 수 있는 안심부스로 변모시켰다."" The safe booth is designed so that when citizens take refuge in it during emergencies, ""자동으로 문이 닫히고 사이렌과 경광등이 작동해 주변에 도움을 요청할 수 있도록 설계되어 많은 시민들로부터 호응을 받고 있다."" The plan is to gradually expand this initiative with the collaboration of KT Linkers.",
"Seoul, South Korea",36,"Enhanced community engagement technologies, data collection tools for service needs assessment.","This program aims to create ""더 세밀하고 촘촘한 '골목' 공동체"" by focusing on localized support initiatives rather than broader community efforts.",
"Seoul, South Korea",38,"Big Data, data analysis systems.","Utilizing ""빅데이터"" to analyze the demand for childcare facilities by district, which allows for ""원생을 배치하고, 지역 여건을 고려해 기준을 적용함으로써 자치구별 편차를 해소할 계획이다,"" aiming to allocate resources more efficiently and equitably.",
"Seoul, South Korea",40,"Smartphone app, unmanned rental system","“‘따릉이'는 서울시의 교통체증, 대기오염 문제를 줄이고 서울시민의 근거리 이동수단으로 활성화시키기 위해 마련되었다. 스마트폰 앱을 활용한 무인대여 시스템으로 24시간 대여가 가능하고 모든 대여소에서 대여·반납이 가능하므로 언제, 어디서나 쉽고 편리하게 이용 가능하다.”",
"Seoul, South Korea",48,"빅데이터, 챗봇 서비스","""빅데이터를 활용한 유망업종 중심의 준비된 창업을 유도하고자 한다"" through ""상권분석 서비스를 통해 기존의 골목상권 1,742개에서 전통시장 및 관광특구 260여 개의 상권정보를 확대 제공"" and utilizing ""빅데이터를 적극적으로 활용하여 창업 예정지의 위험도 및 추정 매출액 제공.""",
"Seoul, South Korea",51,"Accelerating programs, tailored support services","""소셜벤처 엑셀러레이팅 프로그램을 통해 사회혁신형 우수기업을 육성하고 총 42개 소셜벤처에 대한 맞춤형 지원을 실시한다.""",
"Seoul, South Korea",52,Online matching platforms for housing.,"""빈 방이 있는 어르신과 대학생을 연결해 주는 ‘한지붕 세대공감’은 고령화와 청년 주거문제를 동시에 해결할 새 해법으로 주목받고 있다."" This program connects elderly citizens with university students needing housing, thus addressing multiple socio-economic challenges in the urban environment.",
"Abu Dhabi, United Arab Emirates",8,Solar energy technologies,"""The large-scale deployment of solar energy technologies is an example of the UAE’s leadership in climate action and addressing the global sustainable development agenda.""",
"Abu Dhabi, United Arab Emirates",14,"Environmental goods and services, Innovative business solutions","""The private sector will play a critical role in advancing the UAE’s economic diversification agenda by strengthening the market for environmental goods and services.""",
"Abu Dhabi, United Arab Emirates",16,Not specified in the provided content.,"""National Sustainable Transport Programme"" is aimed at developing a sustainable transport system that reduces vulnerability to climate impacts.",
"Abu Dhabi, United Arab Emirates",20,"Data sets, Information management systems","""As essential components of the NCCMS, four policy data sets are proposed: Inventory of climate mitigation and adaptation measures that is regularly updated reflecting latest technology and market information; Comprehensive climate risk and vulnerability data, and list of adaptation initiatives.""",
"Abu Dhabi, United Arab Emirates",22,"Sensor technology, data collection and analysis tools","""The UAE will aim to strengthen its monitoring and observation systems required to track climate variables.""",
"Abu Dhabi, United Arab Emirates",24,Operational innovation technologies,"""Unlocking opportunities in high value-added industries – by establishing innovative operations for delivering goods and services.""",
"Abu Dhabi, United Arab Emirates",26,Transport management systems,"""Managing transport-related GHG emissions will realize wider economic and social benefits.""",
"Abu Dhabi, United Arab Emirates",27,"Smart building technologies, landscape architecture 도래","""combine a number of efficiency measures in building design and landscape architecture."" The policy prioritizes ""smart developments over traditional ones.""",
"Abu Dhabi, United Arab Emirates",28,public transport systems,"""Dubai is aiming to ensure that 20% of all trips will be made using public transport by 2020, and 30% by 2030.""",
"Abu Dhabi, United Arab Emirates",30,"Sustainability monitoring tools, green infrastructure technologies","""The EAD’s Sustainable Campus Initiative"" promotes environmental sustainability within the university campus environment through various technology-enabled strategies.",
"Abu Dhabi, United Arab Emirates",33,Not specified,"""Green Workforce and Talent"" aims to develop a skilled workforce to address challenges associated with climate change adaptation and innovation.",
"Semarang, Indonesia",17,Renewable energy resources,"""Acceleration of electricity provision based on renewable resources.""",
"Semarang, Indonesia",18,"Research divisions, expert collaboration platforms","""They are adding to their agenda to establish an expert climate change team that will be responsible to provide inputs for the city’s development and spatial planning.""",
"Semarang, Indonesia",20,"Capacity building, expert advice, methodology development.","""The Ministry for Public Works seeks to address this by building capacity within government departments, enabling them to undertake rapid review of the CSP to determine whether or not climate resilience indicators have been addressed and, from there, to develop resilience strategies.""",
"Melbourne, Victoria, Australia",17,Waste management technology,"""At the end of the day the café workers separate organic waste and recycling and donate left over food to charity so only a small amount of waste is sent to landfill.""",
"Melbourne, Victoria, Australia",20,None specified,"""We have started a capacity building program for local governments in metropolitan Melbourne and will continue to share the lessons we learnt during the pilot program with cities around the world.""",
"Melbourne, Victoria, Australia",31,Certified electricity systems,"""An alternative to installing renewable energy directly is to purchase renewable energy or carbon neutral certified electricity from an energy retailer.""",
"Melbourne, Victoria, Australia",33,"Research collaboration platforms, emerging renewable energy technologies","""We could also drive innovation by engaging university researchers in trialling new technology or holding design competitions.""",
"Melbourne, Victoria, Australia",36,"Urban planning, emissions reduction strategies","""We are working with Victorian Government partners to introduce net zero emissions targets for urban renewal precincts such as Fishermans Bend and Arden-Macaulay, and to incorporate these into planning and implementation.""",
"Melbourne, Victoria, Australia",41,Traffic management systems,"""Priority could be given to people walking, riding bicycles and using public transport at these intersections, reducing waiting times and exposure to the weather.""",
"Melbourne, Victoria, Australia",42,"Renewable energy, Train systems","""In the future, these could be powered by 100 per cent renewable energy.""",
"Melbourne, Victoria, Australia",44,"Congestion pricing systems, traffic management systems","""Since Stockholm introduced permanent congestion charges in 2007, use of cars and other vehicles has reduced significantly. As a result, carbon dioxide emissions have decreased by 10 to 15 percent across the inner city, and by 2 to 3 percent in the metropolitan area. Air quality has improved and there has been an estimated reduction in premature deaths of 25 to 30 annually.""",
"Melbourne, Victoria, Australia",48,"Food dehydrator, recycling technology","""In collaboration with local businesses, the City of Melbourne introduced a shared commercial recycling program and a food dehydrator to turn food waste into a compost-like soil conditioner.""",
"Melbourne, Victoria, Australia",50,Green infrastructure,"""Positive feedback loop: enhance the urban forest and use green infrastructure to reduce the urban heat island effect, which will reduce both flood risk and the impact of heat on buildings.""",
"Melbourne, Victoria, Australia",52,"Recycling, low carbon procurement, renewable energy","""Reduced environmental pollutants; improved air quality; reduced morbidity and mortality; improved physical and mental health; reduced healthcare costs""",
"Melbourne, Victoria, Australia",55,"Digital collaboration tools, event management technology","""We sponsor competitions and hack-a-thon events for university students to develop the skills needed for the low carbon economy of the future.""",
"Melbourne, Victoria, Australia",62,"Circular economy principles, urban design, procurement systems","""Integrate circular economy principles into: City of Melbourne procurement and events... Seek ways to partner with other large purchasers to stimulate the market for reused and remanufactured products.""",
"Melbourne, Victoria, Australia",64,"Electric vehicles, renewable energy, vehicle charging infrastructure","""Advocate to the Australian Government for: International best-practice emissions standards for petrol and diesel engines,"" and to ""support the transition to electric vehicles powered by renewable energy."" This includes ""prioritising buses and last-kilometre freight"" and encouraging ""private providers to provide electric vehicle charging facilities.""",
"Surat, Gujarat, India",3,No specific technology mentioned,"The Surat Municipal Corporation developed its City Resilience Strategy to address the challenges of climate change in general, and flood vulnerability.",
"Surat, Gujarat, India",4,Wastewater recycling and treatment,"""Additional revenue is raised through the sale of recycled domestic wastewater to industrial units based in Pandesara – some 35 million litres of tertiary treated wastewater per day.""",
"Surat, Gujarat, India",5,"Smart city technologies, urban planning software","""The Surat Municipal Corporation is working with Microsoft CityNext to develop Surat as a smart city with advanced urban planning and citizen-empowerment processes.""",
"Surat, Gujarat, India",6,"Information technology, engineering","""Kamlesh Yagnik...previously collaborated with the local government to create an end-to-end early-warning system for river floods.""",
"Toyama, Japan",5,"Waste treatment facilities, recycling technologies, energy supply technologies","""Facilitate environmentally-sound disaster waste management to respond to the frequent occurrence and aggravation of natural disasters, by appropriate treatment and recycling of large amounts of disaster waste, and by developing waste treatment facilities resilient to disasters, and facilitating the utilization of the facilities as energy supply hubs.""",
"Toyama, Japan",7,"Recycling technologies, data estimation tools, cooperation platforms","""Japan's efforts and the experience, especially recycling (80%~), after the Great East Japan Earthquake can provide lessons."" ""Japan will assist the global hot spot regions in Asia and the Pacific in cooperation with UNEP and JICA etc. in D-waste management.""",
"Toyama, Japan",12,Not specified,No specific description provided; it serves as a framework relevant to the topics discussed.,
"Toyama, Japan",14,"Recycling technology, waste management systems","""Sophistication of local recycling networks"" which implies enhanced efficiency in resource recovery.",
"Toyama, Japan",18,Environmental monitoring and data collaboration technologies,"""Such efforts can also contribute to combating marine litter from land-based sources.""",
"Toyama City, Japan",5,"Research collaboration platforms, content creation tools","The MOU commits stakeholders to ""document experiences and lessons on various development challenges and solutions areas through joint research"" and producing ""outputs such as knowledge notes, toolkits, good practice guides, and videos.""",
"Toyama City, Japan",10,Light rail transit (LRT),"""Toyama began making progress in 2003... following by the beginning of the delivery of key projects such as Toyama LRT – 'Portram' in (2006).""",
"Toyama City, Japan",12,"Urban transportation systems, public transit networks, stakeholder collaboration tools","The plan aims to promote integrated town development and ""improving the north‐south connectivity of the tram network and therefore mobility of the entire central urban area.""",
"Toyama City, Japan",13,"Light Rail Transit (LRT), public-private partnership, super-low floor tram cars, IC card ticketing system","“The delivery of the LRT was achieved by adopting a two tiered public-private partnership” aimed at revitalizing public transportation through compact city planning, enabling a shift from automobile dependency. “A sizeable step-change in service and operation levels was delivered: super-low floor cars were introduced; five new stations were added; service hours were extended; and service frequency was increased nearly 3.5 times.”",
"Toyama City, Japan",14,"Light rail transit (LRT), tram line.","""The goal was to deliver a shift from the current automobile dependency and create a city where key amenities are all within walking distance."" The ""Centram"" city tram loop line was created by ""providing a 0.9 km tram line extension with three new stations"" to enhance accessibility in the downtown area.",
"Toyama City, Japan",15,"bicycle sharing system, stations for bicycles","""Japan's first full scale bicycle share scheme"" has been ""subsidized by the Ministry of the Environment,"" contributing to ""revitalizing the centre, improving accessibility and reducing CO2 emissions.""",
"Toyama City, Japan",16,"Mixed-use building design, architectural technology","""The Glass Art Museum Development was first identified in concept form in 2001... and then in 2015 the Toyama Glass Art Museum was opened... the museum, designed by Japan’s famed architect Kengo Kuma, was opened in August 2015.""",
"Toyama City, Japan",18,Integrated housing facilities technologies,"""If new apartment building or housing that conforms to the HLE Guidelines, it assists those who register at the lower floors and provide medical and welfare facilities.""",
"Toyama City, Japan",20,"Public transportation, urban planning technologies","""Toyama’s compact urban form contributes to enhanced mobility, accessibility and independence of senior citizens and has been delivered through revitalizing public transportation, revitalizing the downtown area and encouraging residence along public transport corridors.""",
"Toyama City, Japan",22,Not specified,"""The PPP development includes four active private sector facilities that won the tendering of Toyama’s concept for welfare and health neighborhood renewal plan.""",
"Toyama City, Japan",23,"Hydrotherapy, exercise program development, medical monitoring systems","The Kadokawa Preventative Care Center ""offers accessible health and community-oriented activities, many of which are focused on preventative care, including activities to stabilize or improve the mobility of people in their later years."" It employs ""spring water for hydrotherapy,"" ""resident doctors and exercise experts,"" and develops ""unique exercise programs for the elderly."" It includes ""aquakinetic therapy and spa therapy using hot spring water, physical therapy and other fitness activities, as well as regular medical check-ups by specialized healthcare practitioners.""",
"Toyama City, Japan",24,"Walking tours, walking carts.","""The 'walkable zone community workshops' are city centre walking tours for senior citizens attended by students mainly from the University of Toyama. Again it provides increased mobility and intergenerational social activity. The scheme also offers 'walking carts' to assist the less mobile and therefore maximize safe and comfortable participation for more senior citizens.""",
"Toyama City, Japan",26,"River engineering, hydrology","""A major bend in the river which had caused frequent downtown flooding was straightened between 1901 and 1920.""",
"Toyama City, Japan",27,Urban planning and disaster resilience frameworks,"The LRRP ""promote[s] comprehensive measures"" for increasing resilience in the city and is a ""comprehensive guideline on 'toughening' the city as a whole.""",
"Toyama City, Japan",28,"Rainwater storage tunnel, combined sewer system","""The project consists of a 1,069 meter rainwater storage tunnel (Matsukawa storage tube) with a diameter of about 5 meters"" that ""will be able to store excessive water (up to 20,200 tons), and reduce flooding damage in the low land area of the city centre.""",
"Toyama City, Japan",29,"Weir boards, drainage ports, subsidy scheme for farmers, community participation","The case study introduces a successful measure used in Toyama against flooding using paddy field storage as a unique system for flooding management. ""By temporarily storing water in the rice paddy fields, the outflow of rainwater is 4.4 times gentler than before."" This system seeks to ""temporarily store excessive rainwater in paddy fields in order to suppress the inflow into rivers and waterways and reduce flooding in urban areas.""",
"Toyama City, Japan",30,"Urban Area Radar System, Rainwater Estimation System, High Speed Outflow Analysis System","""The rainwater management and flood forecasting technology project incorporated three key systems"" to enhance disaster prevention capacity. It allows Toyama City to ""fully maximize the capacity of rainwater storage facilities in real time in order to reduce flood damage."" Additionally, the ""forecast distribution information makes it possible to secure enough time to respond and put coping mechanisms in place such as the use of sandbags and evacuation.""",
"Toyama City, Japan",31,Training sessions,"""This part of the program is targeted at evacuation (shelter) center management training for Toyama City staff, particularly district center personnel.”",
"Toyama City, Japan",32,"Educational technology, community engagement strategies","""The waste recycling education center at Toyama Eco‐Town increases citizen awareness of the methods and importance of waste recycling and fosters collaboration among citizens, businesses and the government.""",
"Toyama City, Japan",33,"Recycling facilities, waste processing technology, methane production technology","""The Eco‐Town industrial complex...promotes the establishment of a recycling oriented society through energy saving and waste recycling efforts."" It includes ""a recycling facility to turn food waste and clipped branches into methane"" and processes ""refractory fibers and mixed plastic recycle.""",
"Toyama City, Japan",34,"Rotary kiln incineration, energy recovery systems","""Toyama Kankyo Seibi adopts a rotary kiln system for incineration. This system generates electricity using waste heat after complete combustion in primary combustion/secondary combustion.""",
"Toyama City, Japan",35,"Incineration technology, energy generation systems","""Utilizing the generated heat obtained through the incineration of waste, the facility can then generate electrical power of up to about 1,500 kwh."" It processes ""construction‐related combustibles"" and other waste types to convert them into usable energy.",
"Toyama City, Japan",36,"Waste disposal facilities, collaborative platforms for disaster management","""The company has also been a member of the national initiative - 'Japan Disaster Treatment Systems' since 2016,"" and plays ""an important role in designated waste treatment organizations.""",
"Toyama City, Japan",37,"Waste treatment techniques, human resource knowledge exchange, environmental education programs, garbage separation rules.","""Toyama City provided waste treatment techniques and human resource knowledge exchange to help solve the issues Mogi das Cruzes faced by disseminating Toyama City’s best know‐how and expertise in a collaborative way."" The collaboration aimed to create an organized system for recycling, improve waste separation, and raise public awareness around household garbage separation policies.",
"Toyama City, Japan",44,"Eco-friendly practices, waste management systems, green technology","Toyama’s Vision for the Environment seeks “a harmonious balance between human health, animal health and the health of Toyama’s bountiful nature” by “supporting eco-friendly socio-economic practices, efficient waste management systems, green industries and long range conservation plans.”",
"Toyama City, Japan",45,"Health and wellness technology, branding technology","""Create a healthy lifestyle plan and city branding.""",
"Jakarta, Indonesia",3,"Water treatment technologies, waste management systems","""HEALTHY Jakarta will encourage increased access to clean water services, increased coverage of wastewater services, free open defecation from Jakarta, and improve waste management.""",
"Jakarta, Indonesia",4,"Dashboard technology, data visualization tools","""Encouraging the Development of Integrated Decision Making Dashboards.""",
"Jakarta, Indonesia",7,Various modern technologies for resource management and urban planning,"""Kota yang mampu mengelola dan memanfaatkan segala sumber daya yang dimiliki seperti sumber daya alam, sumber daya manusia, teknologi modern, dan sumber daya lainnya sehingga mampu mewujudkan pertumbuhan ekonomi berkelanjutan dan kualitas kehidupan yang tinggi.""",
"Jakarta, Indonesia",10,"Public information systems, digital communication tools","""Terhubungnya warga Jakarta dengan sistem informasi publik pada 2030"" indicates a goal to connect citizens through public information systems, facilitating better communication and engagement in urban management and resilience efforts.",
"Jakarta, Indonesia",13,"Networking platforms, resource sharing mechanisms, experiential learning systems","""100 Resilient Cities (100RC) merupakan sebuah program yang berfokus pada pewujudan ketahanan kota,"" providing ""dukungan pada berbagai kota di seluruh dunia agar menjadi lebih siap menghadapi guncangan dan tekanan melalui penyediaan layanan berbagi pengalaman, pembelajaran, sumber daya, serta jejaring yang dimilikinya.""",
"Jakarta, Indonesia",16,"Collaborative platforms, meeting facilitation tools","“Proses menuju Jakarta berketahanan dilakukan melalui pendekatan kolaboratif yang melibatkan berbagai pemangku kepentingan terkait, baik sektor pemerintah maupun non-pemerintah.”",
"Jakarta, Indonesia",23,"Internet, mobile application","""Mayoritas Masyarakat Menjangkau Pemangku Kepentingan Melalui Qlue"" implies that Qlue is a platform that connects the community with stakeholders, allowing citizens to report various issues.",
"Jakarta, Indonesia",27,"Urban agriculture technologies, precise farming tools","""Ketahanan pangan dapat dimulai dengan kegiatan pertanian perkotaan yang memanfaatkan lahan kosong, lahan terlantar, dan bangunan gedung. Pertanian perkotaan juga dapat dilakukan dengan pemanfaatan teknologi tepat guna yang meningkatkan efektivitas dan efisiensi dalam proses penanaman.""",
"Jakarta, Indonesia",28,Centralized wastewater treatment systems,"""Mendorong Percepatan Pembangunan Sistem Pengolahan Air Limbah Domestik Terpusat (SPALD-T) di 15 Zona"" refers to the accelerated development of centralized domestic wastewater treatment systems across various zones in Jakarta.",
"Jakarta, Indonesia",29,"Educational platforms, communication tools","""Peningkatan kesadaran dan pemahaman terkait risiko dari bencana dan dampak perubahan iklim melalui edukasi formal dan non-formal"" involves utilizing technology to enhance education about disaster preparedness and climate change impacts.",
"Jakarta, Indonesia",30,Evaluation schemes for risk assessment,"""Skema evaluasi akan disusun agar dapat digunakan untuk memperoleh pemutakhiran status kerentanan, kapasitas dan risiko oleh pemangku kepentingan.""",
"Jakarta, Indonesia",32,GPS Geodetic measurement systems,"""Pemantauan Penurunan Tanah Menggunakan Sistem Pengukuran GPS Geodetik"" uses advanced GPS technology to monitor and measure land subsidence, which is vital for urban planning and resilience.",
"Jakarta, Indonesia",33,"Urban landscaping technologies, ecological design methods","""Pembangunan Taman Berketahanan yang dicikal bakali oleh Taman Maju Bersama"" focuses on creating resilient green spaces within the city.",
"Jakarta, Indonesia",34,"Aplikasi, Perangkat Lunak","""Pemutakhiran Aplikasi Sibaja, Qlue, Jakarta Aman, dan JSC yang ramah bencana dan perubahan iklim"" bertujuan untuk memperbaiki aplikasi agar lebih responsif terhadap bencana.",
"Jakarta, Indonesia",35,"Communication platforms, social networking tools","""Pembentukan Forum Kota Berketahanan"" to enhance community interactions and social harmony.",
"Jakarta, Indonesia",36,"Teknologi pemeliharaan, teknologi pengawasan","""Kegiatan Usulan: Pemanfaatan Teknologi Terkini untuk pemeliharaan infrastruktur dan pengawasan aktivitas penggunaan air perpipaan.""",
